ResponseID,Topic,Transcription
510,Supporting Responsible Ai Discussion Paper,"The Australian Federal Police Afp Welcomes The Opportunity To Make A Submission To The
Department Of Industry Science And Resources’ Public Consultation On Safe And Responsible
Artificial Intelligence Ai In Australia This Submission Addresses Both Identified Criminal
Threats Relating To Ai And Considerations For The Use Of Ai For Law Enforcement Purposes
2The Afp Protects Australians And Australia’S Interests From A Wide Range Of Harms By Virtue
Of Our Diverse Functions As The Commonwealth’S Policing Agency The Afp Has Responsibility
For Enforcing Commonwealth Criminal Law Contributing To Combating Complex Transnational
Serious And Organised Crime Impacting Australias National Security And Protecting
Commonwealth Interests From Criminal Activity In Australia And Overseas The Afp Also Has
Responsibility For Providing Policing Services To The Australian Capital Territory Act And
Australian External Territories Technology Is An Enabler For The Broader Community Including Criminal Enterprises And In
Turn For Policing The Afp’S Technology Strategy Recognises That All Crime Types And Policing
Functions Are Affected By The Use Of Technology The Emergence Of Increasingly Mature Ai
And Machine Learning Ml Has Accelerated This Impact As It Permeates Many Facets Of
Technology And Society
4 The Afp Recently Published The “Blue Paper To 2030 And Beyond” Detailing The Future Of
Federal Policing This Sets Out Our Strategic Approach To Safeguarding Lives Livelihoods And
Australia’S Way Of Life Well Into The 2030S Within This Strategic Outlook The Blue Paper
Acknowledges The Significance Of Digital Evolution 40 Including The Influential Role Of Ai As A
Major Driver Of Transformative Changes Affecting The Australian Community And In Turn
Policing The Afp Is Committed To Five Future Core Priorities Which Includes Leadership In
Embracing And Leveraging Technology To Meet The Ever Evolving Operational And Threat
Environment Successful Implementation Of New And Emerging Technology Will Play An
Important Role In Shaping The Afp’S Future Operational Effectiveness And Efficiency The Afp Recognises Technology Is Also A Key Enabler For Criminal Activity Against Australians
Including By Cyber Criminals The Online Grooming And Subsequent Abuse Of Children And
Easily Accessible Exposure To Abhorrent And Violent Extremist Material Radicalising Our Most
Vulnerable Including Children The Effect Is Delivered From A Distance And At Speed And
Scale That Is Unprecedented In Our History Ai And Ml Delivers Further Opportunities For
Criminals To Scale Their Activities Yet These Tools Are Equally Essential To Law Enforcement
Responding To This Threat
6 The Afp Is Determined To Understand And Engage With The Threats And Opportunities Posed
By Ai Into The Future The Use Of Ai Will Be Required For The Afp To Effectively Achieve Our
Mission To Uphold Public Safety And Combat Criminal Activities To Do This The Afp Will
Assess The Following Opportunities
 Continually Explore And Seek Opportunities To Invest In New Technology
Invest In Upskill Our People To Ensure They Have The Requisite Skills And
Understanding Of Ai
 Ensure Appropriate Processes And Governance In Relation To The Implementation Of
New Technologies To Meet Community Expectations
 Continue To Strengthen And Foster New Relationships Across Government Industry
And Academia And
 Work With The Broader Community To Ensure Australia Has A Fit For Purpose Regulatory
Environment"
507,Safe And Responsible Ai In Australia’,"The Disr Have Called For Public Submissions To Inform Government Policy On The Safe And
Responsible Use Of Ai In Australia The Discussion Paper Highlights That Public Trust In Ai Technology
Is Required To Realise The Economic And Societal Benefits Of Ai It Also Outlines The Government’S
Commendable Intent To Develop A Clear Set Of Regulatory And Governance Mechanisms To Support
And Guide The Trustworthy Use Of Ai To Protect Australians From Harm And Strengthen Public Trust In
The Use Of Ai
This Intent Aligns Directly With The Recommendations Identified In Our Recent Research Report
Examining Public Trust And Attitudes Towards Ai In 17 Countries Including Australia1
 Using Nationally
Representative Samples This Research Shows That Only A Third Of Australians Are Willing To Trust Ai
Systems And Less Than Half Of Australians Perceive The Benefits Of Ai Applications As Outweighing The
Risks The Report More Broadly Highlights That The Public Have High Expectations Of The Governance
Regulation And Management Of Ai
These Findings Underscore The Importance Of Government And Industry Addressing The Significant
Concerns The Australian People Have With The Use Of Ai And The Need To Strengthen The Regulation
And Governance Of Ai To Augment ‘Warranted Trust’ Trust That Is Founded On And Calibrated With The
Responsible And Trustworthy Use Of Ai"
506,"Safe And Responsible Ai In Australia
Discussion Paper","The Office Of The Australian Information Commissioner The Oaic Welcomes The Opportunity To
Comment On The Safe And Responsible Ai In Australia Discussion Paper The Discussion Paper
Released By The Department Of Industry Science And Resources Disr
2 The Oaic Is An Independent Commonwealth Regulator Within The Attorneygeneral’S Portfolio
Established To Bring Together Three Functions Privacy Functions Protecting The Privacy Of
Individuals Under The Privacy Act 1988 Cth Privacy Act And Other Legislation Freedom Of
Information Functions Access To Information Held By The Commonwealth Government In
Accordance With The Freedom Of Information Act 1982 Cth And Information Management
Functions As Set Out In The Australian Information Commissioner Act 2010 Cth
3 Artificial Intelligence Ai Has The Potential To Deliver Significant Benefits For The Economy And
Society1
It Is Already Integrated With The Daily Lives Of Australians Changing The Way We Work
Learn And Socialise
2 Examples Include Using Facial Recognition To Open Your Phone Or Tailoring Of
A News Feed3 However The Datadriven Nature Of Ai Technologies Which Rely On Large Data Sets
That Often Include Personal Information Can Also Amplify Privacy Risks
The Discussion Paper Provides That Australians’ Adoption Of Ai Has Remained Relatively Low With
One Reason Being Low Levels Of Public Trust And Confidence In Ai4 The Oaic Has Also Identified
Significant Community Concern With The Use Of Personal Information In Ai Systems The Oaic’S
2023 Australian Community Attitudes To Privacy Survey Acaps Found That 43 Of Australians
Consider That Ai Using Their Personal Information To Be One Of The Biggest Privacy Risks They Face
Today5
In Addition 54 Of Australians Are Uncomfortable With Government Agencies Using Ai To
Make Decisions About Them Using Their Personal Information And 61 Of Australians Are
Uncomfortable With Private Sector Organisations Using Their Personal Information In This Way6
5 The Discussion Paper Notes That Building Public Trust And Confidence In The Community Involves
Consideration Of Whether Further Regulatory And Governance Responses Are Required To Ensure
Appropriate Safeguards Are In Place We Note That One Of Disr’S Objectives In The Discussion
Paper Is To Understand The Extent To Which Our Existing Regulatory Frameworks And Reform
Processes Already Provide Or May Be Reformed To Provide Safeguards Against The Risks
Presented By Ai We Support This Approach And The Consideration Of How Existing Frameworks
Can Be Strengthened And Enhanced To Provide Adequate Safeguards Before Consideration Is
Given To Create A Separate Regime Specific To Ai 
The Privacy Act Provides A Wellestablished Framework To Minimise The Privacy Risks Associated
With Personal Information Handling And Facilitate Community Trust And Confidence In New Technologies And Data Initiatives The Oaic’S 2023 Acaps Results Show That 69 Of Australians
Consider Compliance With Strict Privacy Rules To Be An Essential Precondition To Organisations
Using Artificial Intelligence To Make A Decision That Could Affect Them7
7 This Submission Focusses On The Role That Privacy Plays In Building Trust And Confidence In The
Adoption Of New And Emerging Technologies Like Ai And Our Views On Measures That Can Further
Support This Objective By Strengthening The Existing Privacy Framework Through The Attorneygeneral’S Department’S The Department’S Ongoing Review Of The Privacy Act The Privacy Act
Review It Also Considers The Need To Ensure A Multifaceted Regulatory Approach
Complementing The Separate Joint Submission Of The Digital Platform Regulators Forum Dpreg"
505,Canvas Approach To Ai,"Canvas Mission Is To Empower The World To Design We Prioritise Responsibility Simplicity And Creativity In Our Products Community Interactions And Ai Development

We View Al As A Collaborative Partner In The Creative Process As We Strive To Make Design Accessible To All Al Can Play A Pivotal Role In Enabling Individuals To Transform Their Ideas Into Reality Without The Need For Specialised Equipment Or Tools The Core Of The Design Process Lies In Human Intention And Creativity While Al Cannot Independently Create Its Potential Lies In Amplifying The Creativity And Intentions Of The Human Designer And Helping People Discover Innovative Starting Points"
504,"Safe And Responsible Ai In
Australia","The Law Council Welcomes The Opportunity To Provide A Submission To The
Department Of Industry Sciences And Resources The Department In Response To
The Discussion Paper On Safe And Responsible Ai In Australia Discussion Paper1
2 Artificial Intelligence Ai Has The Potential To Deliver Significant Opportunities And
Benefits Across The Economy And Society More Broadly And Can Be Expected To
Cause Disruption And Innovation In Many Key Industries The Law Council Considers
This To Be A Timely Opportunity To Consider Reform In Response To Advancements In
Technology And The Implications For The Australian Public
3 Existing Ai Governance Mechanisms In Australia Are Largely Voluntary And Rely On
General Regulatory Frameworks In The Law Council’S View The Significant Risks
Posed By The Use Of Al Justify A Strengthened And Precautionary Approach To Al
Regulation Where There Is Evidence That Existing Laws And Regulations Are Insufficient
To Address The Issues And Harms Arising Further Regulation Should Be Multifaceted
It Should Include The Expansion Of Current Legislation And Where Necessary New
Targeted Legislation Not Just A Soft Law Approach Of A Voluntary Code However The
Law Council Considers That The Australian Government Should Not Seek To Explicitly
Regulate Ai Via A Comprehensive ‘Ai Act’
4 The Law Council Suggests The Establishment Of A Dedicated Interdepartmental
Taskforce To
A Provide Detailed Technical Advice And Guidance
B Consider International Developments
C Provide A Forum For Collaboration Information Sharing And Consultation And
D Coordinate Consideration Of Ai Regulation With State And Federal Agencies
5 In The Short Term The Australian Government Should Consider The Regulation Of Highrisk Ai Technology And Applications In Particular Enhanced Regulation Of The
Collection And Use Of Biometric Information Such As The Use Of Automated Facial
Recognition Technology And ‘Social Scoring’ Practices And Options To Reduce The Risk
Of People Being Misled By Aigenerated Fakes And Scams
6 Further Following The Release Of The Final Report Of The Royal Commission Into The
Robodebt Scheme2 Comprehensive Regulatory Reform Is Required To Ensure That The
Use Of Automated Decision Making Adm Including By The Australian Government
Is Transparent Capable Of Review And Consistent With Administrative Law Principles
7 The Law Council Does Not At This Stage Advocate The Adoption Of Any Particular
International Regulatory Model Australia Has An Opportunity To Assess The Regulatory
Models Adopted By Other Jurisdictions And To Determine An Optimal And Bespoke
Approach For Australia That Reflects The Nuances Of Australia’S Preexisting
Constitutional And Regulatory Framework And Different Local Market Environment"
503,"A Proportionate Balanced Approach To Ai Regulation Is Key To Mitigating And Addressing Harms Related To The Use Of Ai While Accessing The Technology’S Significant
 
Socioeconomic Benefits","As The Discussion Paper Notes There Is No Single Agreed Denition Of Ai Digi Notes That The Fastpaced
Evolution Of The Technology Presents Some Challenges In Reaching A Detailed Denition As It Can Quickly
Become Outdated In Line With New Developments For Clarity And Coordination Across Domestic And
International Regulatory Schemes Digi Suggests That The Government Adopt A Common Lexicon Based On
The Oecd Ai Principles Upon Which Australia Engaged In The Development
4 For Example The Principles
Outline The Denition Of An Ai System As A ‘Machinebased System That Can For A Given Set Of
Humandened Objectives Make Predictions Recommendations Or Decisions Inuencing Real Or Virtual
Environments Ai Systems Are Designed To Operate With Varying Levels Of Autonomy’
5 While The Difference
Between This Denition And That Included In The Discussion Paper Is Subtle Adopting A Common Lexicon
With Other Oecd Countries Could Prove Useful For Future International Engagement And Consultation With
Australia’S Allies And Partners"
502,Safe And Responsible Ai In Australia,"We Welcome The Opportunity To Respond To The Department’S Discussion Paper Safe And Responsible
Ai In Australia The Scca Is The National Industry Group For Owners And Operators Of Shopping Centres
We Note That The Closing Date For Submissions Was Friday 4 August 2023 Due To Other Commitments
We Were Unable To Make A Submission By That Date We Respectfully Request That This Submission Is
Accepted And Considered As Part Of The Department’S Consideration And Advice To Government On
This Issue
Overview
We Are Cognisant That The Department’S Consultation – And Any Policy Or Regulation That May Flow
From It – May Impact Our Sectors’ Use Of Equipment And Technologies Including Ai Associated With
Shopping Centre Operations Generally The Technologies Used By Our Sector Are Not The New Or
Emerging Technologies That The Discussion Paper Is Focused On Rather Have Been Used By Our Sector
For Long Periods Of Time"
501,D E P A R T M E N T O F H E A L T H A N D A G E D C A R E S A F E A N D R E S P O N S I B L E A I I N A U S T R A L I A S U B M I S S I O N,"The Department Of Health And Aged Care The Department Welcomes The Discussion Paper Released By
The Department Of Industry Science And Resources Disr On Safe And Responsible Ai In Australia And
Provides The Following Submission
Artificial Intelligence Ai Is An Emerging Capability That Has The Potential To Transform Wide Areas Of The
Economy And Improve Lives It Is Expected To Have Significant Impacts In The Healthcare Sector
Ai Is Advancing Quickly And Will Likely Generate Disruptive Innovation Across Many Parts Of Society Which
Has Witnessed Significant Advancements And Applications Of Ai In Recent Years Ai Experts Journalists
Policy Makers And The Public Are Increasingly Discussing A Broad Spectrum Of Important And Urgent Risks
From Ai The Centre For Ai Safety Recently Called For Global Coordination To Mitigate These Risksi And The
Digital Health Cooperative Research Centre Having Recently Developed A Comprehensive Ethical
Framework For The Responsible Design Development And Use Of Generative Ai Technology In Health And
Medicineii Any Future Regulation Will Need To Balance The Need To Ensure Patient Safety And The Need To
Maintain The Security Of Protective Sensitive Health Information And Community Trust With The Health
And Economic Benefits That May Be Realised From Ai InnovationThe Department Supports The Development And Implementation Of Policies And Governance That
Promote Safe And Responsible Ai In Australia As Healthcare Delivery Occurs At Different Levels Of
Government A National Approach To Ai Governance Which Includes Sectorspecific Governance Of Ai In
Healthcare Is Desirable To Ensure Alignment In Policy And Legislative Development Clinical Safety And
Public Health Delivery Prioritisation The Success Of Ai In Healthcare Will Depend On National Leadership
To Maintain Trust And Ensure These Systems Are Safe Reliable And Understandable In How They Work
The Responsible Adoption Of Ai In Government Entails Developing Comprehensive Policies Fostering Trust
And Partnerships And Implementing Strategies That Communicate The Benefits And Regulate The Use Of
Ai Effectively In Various Sectors The Department Would Like To See A Wellinformed Ethical And
Comprehensive Approach To Ai Integration In The Health Sector By Understanding And Managing Risks
Fostering Inclusivity And Ensuring Accountability The Responsible Utilisation Of Ai Technologies Can
Contribute Significantly To Advancing Healthcare And Aged Care Services In Australia This Would Be
Complemented By Further Education And Training In Relation To Ai For The Health Workforce Policy
Makers And The Broader Australian Publicaustralians Have High Expectations Of The Department In The Handling Of Sensitive Information
Including Defining What Data Can Be Shared With Whom And Under What Circumstances Given This Role
In Data Sharing The Department Advocates For Regulatory Reforms And Integration Of Aispecific
Regulations Within Existing Acts This Would Provide An Avenue To Harness The Benefits Of Ai While
Effectively Managing Its Risks And Protecting The Integrity Of Healthcare Information"
499,Safe And Responsible Ai In Australia Discussion Paper,"The Interactive Advertising Bureau Iab Australia Limited Wwwiabaustraliacomau Is The Peak Trade
Association For Digital Advertising In Australia
Iab Australia Was Established In 2005 Incorporated In 2010 And Is One Of 47 Iab Offices Globally Iab
Globally Is The Leading Trade Association For Developing Digital Advertising Technical Standards And Best
Practice
Locally There Is A Financial Member Base Of Approximately 180 Organisations That Includes Media
Owners Platforms Media Agencies Advertising Technology Companies As Well Marketers The Board
Has Representation From The Following Organisations Carsales Google Guardian News Media Meta
News Corp Australia Nine Rea Group Seven West Media Yahoo
Iab Australia’S Charter Is To Grow Sustainable And Diverse Investment In Digital Advertising In Australia
By Supporting The Industry In The Following Ways
• Advocacy
• Research Resources
• Education And Community
• Standards
The Charter Includes A Focus On Standards That Promote Trust Steps To Reduce Friction In The Ad Supply
Chain And Ultimately Improve Ad Experiences For Consumers Advertisers And Publishers"
498,Aba Submission – Safe And Responsible Use Of Ai,"Banks Have A History Of Using Technology To Improve Customer Service And Enhance The Security Of
Banking Ai Is Already Providing More Tailored Services And Assistance To People Making Some Services
More Cost Effective Andor Accessible Improving The Efficiency Of Some Administrative Or Analytical
Work And Has Potential To Improve The Consistency And Quality Of Outcomes For Consumers Since Ai Is
Being Used To Target Consumers In The Commission Of Technologyenabled Crimes It Is Also Important
That Banks And Other Legitimate Actors Can Protect Consumers By Implement Ai Solutions Which Can
Better Identify And Address Technology Enabled Crimes Such As Cybercrime And Digital Fraud
The Capabilities Of Ai Technology Are Still Developing The Range Of Activities And Technologies Which Are
Understood To Constitute ‘Ai’ Is Also Very Broad And Varied Our Understanding Of The Potential Uses Of Ai
And The Impact Of Some Uses And What May Be Fit For Purpose Governance Of The Development And Use
Of Ai Is Also Evolving
Aba Advocates For A Considered And Efficient Approach By Government Specifically
 Consider Whether Further Legislation Is Needed After Mapping The Application Of Existing Law To
Aspects Of This Issue If Further Legislation Is Considered Necessary Also Consider Whether The
Legislation Needs To Apply To Specific Highly Regulated Sectors Such As The Banking Sector
 Consider Using More Flexible Mechanisms Such As Regulator And Industry Guidance Which Can
Adapt As Our Understanding Of This Technology As It Evolves This Includes Ensuring Coordination
Between Government And Regulatory Agencies And Facilitating Alignment With International
Technical Standards And Appropriate Regulatory Responses
 Find Ways To Provide Clarity To Businesses And Users Of Ai And Help Both Australia And
Australians To Benefit From Aienabled Innovations And Not Fall Behind Other Jurisdictions That
Australia Competes With For Talent And Investment
 Consider The Impact Of Prohibiting The Use Of Ai If This Inhibits The Ability Of Australian
Government And Businesses To Protect Themselves From Malicious Uses Of Ai
 Further Refine The Riskbased Framework Set Out In The Consultation Paper Including How The
Framework Could Consider The Case For Regulation That Is Proportionate To The Type Of Risk And
Impact The Riskbased Approach In The Consultation Paper Only Applies To Use Casesusers Of Ai
But It Should Extend To Ai Developers And Technology Providersa Riskbased Approach Should
Also Consider Whether Particular Mitigants Or Remedies Should Be Available And
 Any Banning Of Ai Use Cases Should Be Considered On A Casebycase Basis As A Last Resort"
